, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Bwd URG Flags,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Init_Win_bytes_backward,Active Mean, Active Std, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
12637,80,5185118,7,7,1022,2321,372,0,146.0,184.0787875,1047,0,331.5714286,439.6592837,644.7297824,2.700034985,398855.2308,1372180.71,4963956,4,221162,36860.33333,56141.02125,141434,4,5185004,864167.3333,2027593.314,5001548,879,0,0,0,1.350017492,1.350017492,0,1047,222.8666667,331.3239387,109775.5524,0,0,0,1,0,0,0,1,238.7857143,146.0,331.5714286,232,0,0,0,0,0,0,7,1022,7,252,0.0,0.0,0,0.0,0.0,0,0
12643,80,5057374,10,7,736,9880,395,0,73.6,155.6835822,4344,0,1411.428571,1639.91543,2099.113097,3.361428283,316085.875,1239255.101,4963124,36,5057374,561930.4444,1650529.188,4963124,192,56185,9364.166667,10567.11844,21624,36,0,0,0,1.977310755,1.384117528,0,4344,589.7777778,1190.454068,1417180.889,0,0,0,1,0,0,0,0,624.4705882,73.6,1411.428571,328,0,0,0,0,0,0,10,736,7,243,0.0,0.0,0,0.0,0.0,0,0
12700,80,81,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24691.35802,81.0,0.0,81,81,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,12345.67901,12345.67901,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,252,0.0,0.0,0,0.0,0.0,0,0
12712,80,5271123,7,5,969,1430,561,0,138.4285714,240.5021532,1066,0,286.0,463.646417,455.1212332,2.27655473,479193.0,1488840.005,4961916,46,5271123,878520.5,2003102.755,4961916,323,270207,67551.75,131604.8651,264957,1034,0,0,0,1.327990259,0.948564471,0,1066,184.5384615,330.0668153,108944.1026,0,0,0,1,0,0,0,0,199.9166667,138.4285714,286.0,232,0,0,0,0,0,0,7,969,5,244,0.0,0.0,0,0.0,0.0,0,0
12791,80,5020638,7,4,973,1430,565,0,139.0,241.6754021,1066,0,357.5,502.5359025,478.6244298,2.190956608,502063.8,1567338.192,4962654,18,5020638,836773.0,2021330.139,4962654,18,18708,6236.0,5195.494587,11318,934,0,0,0,1.394245114,0.796711494,0,1066,200.25,340.2325742,115758.2045,0,0,0,1,0,0,0,0,218.4545455,139.0,357.5,232,0,0,0,0,0,0,7,973,4,244,0.0,0.0,0,0.0,0.0,0,0
15236,80,1629049,12,8,2145,10218,566,0,178.75,225.8890013,5330,0,1277.25,1966.095532,7589.090322,12.27710155,85739.42105,333916.5926,1463559,59,1629049,148095.3636,437028.5918,1463559,195,157606,22515.14286,18549.7935,52274,1610,0,0,0,7.366260929,4.910840619,0,5330,588.7142857,1299.540116,1688804.514,0,0,0,1,0,0,0,0,618.15,178.75,1277.25,392,0,0,0,0,0,0,12,2145,8,262,0.0,0.0,0,0.0,0.0,0,0
15237,80,5088371,4,4,358,763,358,0,89.5,179.0,763,0,190.75,381.5,220.306263,1.572212404,726910.1429,1885618.448,5002505,4,85866,28622.0,48725.89401,84883,4,5088295,1696098.333,2864350.285,5003217,980,0,0,0,0.786106202,0.786106202,0,763,124.5555556,267.0922645,71338.27778,0,0,0,1,0,0,0,1,140.125,89.5,190.75,136,0,0,0,0,0,0,4,358,4,235,0.0,0.0,0,0.0,0.0,0,0
15238,80,21405204,28,19,5927,19891,561,0,211.6785714,219.408473,2896,0,1046.894737,961.5663665,1206.155288,2.195727731,465330.5217,1188382.211,4962947,40,21400000,792785.3333,1474704.318,4962947,705,16400000,911302.8889,1427512.635,4475937,61,0,0,0,1.308093116,0.887634614,0,2896,537.875,745.6869637,556049.0479,0,0,0,1,0,0,0,0,549.3191489,211.6785714,1046.894737,904,0,0,0,0,0,0,28,5927,19,348,0.0,0.0,0,0.0,0.0,0,0
15306,80,66,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,30303.0303,66.0,0.0,66,66,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,15151.51515,15151.51515,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,235,0.0,0.0,0,0.0,0.0,0,0
16119,80,4050296,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.987582142,1350098.667,2337892.169,4049664,91,4050296,2025148.0,2863097.984,4049664,632,0,0.0,0.0,0,0,0,0,0,0.740686607,0.246895536,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,28960,0.0,0.0,0,0.0,0.0,0,0
16120,80,4139304,27,16,4801,17044,602,0,177.8148148,212.617576,7926,0,1065.25,1882.116521,5277.457273,10.38821986,98554.85714,330294.1359,1960112,103,4139304,159204.0,410994.217,1960112,250,3482404,232160.2667,527514.9539,2002030,151,0,0,0,6.522835723,3.865384132,0,7926,496.4772727,1205.366537,1452908.488,0,0,0,1,0,0,0,0,508.0232558,177.8148148,1065.25,872,0,0,0,0,0,0,27,4801,16,333,0.0,0.0,0,0.0,0.0,0,0
